post_id,title,post_type,post_date,category,link,excerpt,content,attachment_url
166,Attitude of Gratitude,post,2018-11-20 01:39:00,,/blogfeed/2018/11/19/attitude-of-gratitude,Today’s blog is written by Angela Shakelford. Read as she shares about the power of gratitude.,"Today’s blog is written by Angela Shakelford. Read as she shares about the power of gratitude. “Come, let us sing for joy to the Lord; let us shout to the rock of our salvation. Let us come before him with thanksgiving and extol him with music and song.” -Psalm 95:1-2 Imagine the scene on Christmas morning. Everyone is gathered around the Christmas tree and the gifts are being distributed. There are two children present. The first child reacts with gratitude to everything they receive, even if they already have one or an item doesn’t quite fit right. The second child is difficult to please and nothing is quite right. There is a complaint, groan or face for everything received. Which child enjoys Christmas most? The first child surely does because attitude makes all the difference – and this is true every day of the year, not just on Christmas morning. The Christmas morning example is like a snapshot of life. Some are thankful, and others continuously dwell on the negative. When we are ...",
167,attachment-5c1af2d96d2a73659c029c21,attachment,2018-11-20 01:39:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312615236-0TENAAUMRWRHUSV61YH1/Blog_red.jpg,exc-5c1af2d96d2a73659c029c21,img-5c1af2d96d2a73659c029c21,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312615236-0TENAAUMRWRHUSV61YH1/Blog_red.jpg
168,Gratitude: The Pursuit,post,2018-11-27 01:25:00,,/blogfeed/2018/11/26/gratitude-the-pursuit,Today’s blog is written by Jonathan Hickory. Read as he shares about how God pursues us as children and what it means to be a child of God.,"Today’s blog is written by Jonathan Hickory. Read as he shares about how God pursues us as children and what it means to be a child of God. My beloved son turns two years old in a few days. Lately, he loves to play a game with me where he will run tirelessly through the endless grass in our backyard, looking back to see if I am running after him. He has no direction, he has no destination, but he knows he is running from me. To his delight, I pursue him, his little legs moving as fast as they can while my pace remains even, steady, and unwavering. “Chase me, Daddy! Chase me!” he giggles with glee as his blonde hair reflects the warm sunlight. As he looks backwards, sometimes he stumbles and sometimes he tumbles, only to have me leap on top of him and sweep him up into my arms, embracing him with unsurpassable joy and endless love. We laugh together and I find myself overjoyed to share in his laughter and wonder. How often do we, as children of God, run from our Heavenly Father? How oft...",
169,attachment-5c1aefa2898583f75b91bacc,attachment,2018-11-27 01:25:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312604329-H5XT308DNLULPRDLXWKJ/Blog_black.jpg,exc-5c1aefa2898583f75b91bacc,img-5c1aefa2898583f75b91bacc,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312604329-H5XT308DNLULPRDLXWKJ/Blog_black.jpg
170,Discouragement & Hope,post,2018-11-06 01:41:00,,/blogfeed/2018/11/5/discouragement-amp-hope,Today’s blog is written by Bonnie Russman. Read as she shares what to do when we are discouraged.,"Today’s blog is written by Bonnie Russman. Read as she shares what to do when we are discouraged. Today’s Reading “For whatever was written in earlier times was written for our instruction, that through perseverance and the encouragement of the Scriptures we might have hope.” -Romans 15:4 – NASB Have you ever been discouraged? Each of us has probably experienced some form of discouragement at one time or another; I certainly have. We’ve all felt sad, let down or disappointed, but true discouragement goes deeper than mere surface feelings. The dictionary defines discouragement as the loss of confidence or courage – to be disheartened. True discouragement is in many ways akin to a broken heart. As Christ followers, we know that He dwells in our hearts, along with our own faith in Him, and hope, and love. And if the joy of the Lord is our strength, how could a child of God lose these precious gifts and give way to discouragement? Sometimes we forget, for a moment, that our powerful, lovin...",
171,attachment-5c1af35c6d2a73659c02a472,attachment,2018-11-06 01:41:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313143107-TSE7IG4UAAMKLX8UDP4D/Blog_black.jpg,exc-5c1af35c6d2a73659c02a472,img-5c1af35c6d2a73659c02a472,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313143107-TSE7IG4UAAMKLX8UDP4D/Blog_black.jpg
172,15 Minutes to Flee,post,2018-12-10 17:07:00,REACH,/blogfeed/2018/12/19/15-minutes-to-flee,Read from Pastor Gabe as he outlines our REACH partners and a brief picture of how we have been able to REACH these nations with the Gospel of Jesus Christ.,"Imagine sitting at home on a relaxing December evening before the warmth of your fireplace. It’s cold outside. You’re watching your favorite Christmas special. Your children are playing on the floor in the light of your Christmas tree. In the chaos of your life and the Christmas season, everything seems calm and right in the world, even if it’s just for that evening. Suddenly the peace and quiet get interrupted with a phone call. It’s a warning that there is an army approaching your community and you have 15 minutes to flee. It’s a high likelihood that if you’re there when the army arrives, you and your sons will be tortured and killed, and your wife and daughters will be raped. What do you take with you? What gets left behind? While it’s hard for us to imagine a scenario this tragic and disturbing, this is the reality of many Syrian and Iraqi refugees who were forced to leave their war-torn countries finding refuge in Jordan from both Isis and other fighting armies. The week after Tha...",
173,attachment-5c1a7a2f562fa7196456e9d4,attachment,2018-12-10 17:07:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312584764-4M2CGGHMQ5HATS4T5PNJ/Blog_red.jpg,exc-5c1a7a2f562fa7196456e9d4,img-5c1a7a2f562fa7196456e9d4,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312584764-4M2CGGHMQ5HATS4T5PNJ/Blog_red.jpg
174,Presence Over Presents,post,2018-12-17 17:00:00,,/blogfeed/2018/12/19/presence-over-presents,Today’s blog is written by Hannah Critzer. Read as she shares how we only find true satisfaction in God.,"Today’s blog is written by Hannah Critzer. Read as she shares how we only find true satisfaction in God. Today’s Reading “His soul shall be satisfied on Mount Ephraim and Gilead.” -Jeremiah 50:19 “Our Spiritual appetite can only be satisfied with Jesus.” -Nicky Gumbel. Would I be satisfied if I were to lose our Christmas holiday decorations, our lights, our presents, our food, even our Christmas parties if I were to just have Jesus? The scripture reference is from Jeremiah in which Jeremiah is trying to teach the readers the promises of God. One of the promises Jeremiah mentions is God wants the readers to be satisfied by the Lord alone. If we were to simply remember Jesus being born and the sacrifice it took our Heavenly Father to give Jesus to the world, would we still be satisfied? Satisfaction, or contentment at the core means being fulfilled. Nothing else needs to be added or given to be satisfied. My husband and I have been married for a little over 3 years and at the beginning o...",
175,attachment-5c1a786acd83663b2742ec68,attachment,2018-12-17 17:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312506609-9X2Z9PQYMXNONY669BYC/Blog_black.jpg,exc-5c1a786acd83663b2742ec68,img-5c1a786acd83663b2742ec68,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312506609-9X2Z9PQYMXNONY669BYC/Blog_black.jpg
176,Light of the World,post,2018-12-25 19:01:00,,/blogfeed/2018/12/25/light-of-the-world,Today’s blog is written by Chris Eagle. Read as he shares how his family christmas traditions help him focus on the true meaning of Christmas.,"Today’s blog is written by Chris Eagle. Read as he shares how his family christmas traditions help him focus on the true meaning of Christmas. Christmas traditions are something I think we all secretly wait for every year. For many of us, we seem to have some we remember from our childhood, and now maybe even cling to as adults. When I look back to my childhood and Christmas, now as an adult, I truly love the tradition of putting up the Christmas tree. For us, a real pine tree is not an option, our cats like to eat it! The picturesque pulling out of that fake Dillard from the box we store it in, is a thing of beauty! Of course, we always add some type of lights, only to find that one lightbulb that doesn’t work! Probably one of my favorite things is putting up our ornaments. They are from the places we’ve traveled, the things we enjoy, older ones I made as a child, to the ones we received from other family members. I love to think about what the ornament means and how it impacts me and...",
177,attachment-5c4a0b887924e8130fc167b6,attachment,2018-12-25 19:01:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312497236-1AFRK9TCEFKDWNCR8SFS/Blog_white.jpg,exc-5c4a0b887924e8130fc167b6,img-5c4a0b887924e8130fc167b6,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312497236-1AFRK9TCEFKDWNCR8SFS/Blog_white.jpg
178,Rejoice,post,2018-12-04 01:22:00,,/blogfeed/2018/12/3/rejoice,Today’s blog is written by Brandi Kirby. Read as she shares with us how she chooses to rejoice in the hope Jesus brings even in seasons of darkness.,"Today’s blog is written by Brandi Kirby. Read as she shares with us how she chooses to rejoice in the hope Jesus brings even in seasons of darkness. “When they saw the star, they were filled with joy!” -Matthew 2:10 When I was a little girl my parents allowed me to have a tiny tree in my bedroom. Picture a plump version of a Charlie Brown tree with bright white and multi-colored lights. The dazzling lights against the tinsel mesmerized me for weeks! The joy of the upcoming day was almost too much to contain. I felt like I was going to burst. I would belt out the verses of Jingle Bells and Rudolph the Red Nose Reindeer along with the classic hymns of Silent Night and O Come All Ye Faithful as I caroled with my friends. A lot has changed since then; my tree is much bigger, my life more complex, but the twinkle of the holiday lights and the sound of the music still sparks excitement in my heart. As Christians, we know Christmas is much more than holiday lights, tinsel, good music and shop...",
179,attachment-5c1aeef570a6ad6fcceee83b,attachment,2018-12-04 01:22:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312595319-VVJDX5V1OHZQKCZE9JB3/Blog_white.jpg,exc-5c1aeef570a6ad6fcceee83b,img-5c1aeef570a6ad6fcceee83b,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312595319-VVJDX5V1OHZQKCZE9JB3/Blog_white.jpg
180,A Desire for More,post,2018-02-15 16:18:00,REACH,/blogfeed/2018/2/15/a-desire-for-more,"Today’s blog is written by Brandi Kirby, who just came back from a REACH mission trip. She shares her experience in the Philippines with her fellow teammates and how God is working and doing amazing things there!","Today’s blog is written by Brandi Kirby, who just came back from a REACH mission trip. She shares her experience in the Philippines with her fellow teammates and how God is working and doing amazing things there! At 38, I thought to myself, there has to be more to my walk with the Lord than leading a small group and serving at church on Sundays. I had a deep stirring in my heart to want more of Jesus, to know Him deeper and to serve Him greater. So, I took a step in faith and headed to the Philippines to serve with my church. God showed me more on this trip. I gained brothers and sisters in Christ. I saw God’s greatness through instantly answered prayers. I learned to love deeper than I ever knew I could. I experienced love with no boundaries and I learned our ministry shouldn’t either. This mission trip changed my life. We helped construct a church in a village that was a day’s walk from the main road – so thankful for our vehicle! There were so many children and adults and not many s...",
212,attachment-5c4a0ae640ec9a50cd30534b,attachment,2019-01-15 18:58:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312471242-LY7EFJRLIY5H1AVAOGC1/Blog_black.jpg,exc-5c4a0ae640ec9a50cd30534b,img-5c4a0ae640ec9a50cd30534b,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312471242-LY7EFJRLIY5H1AVAOGC1/Blog_black.jpg
213,Breakthrough to Freedom,post,2019-01-22 16:05:00,Women's Event,/blogfeed/2019/1/22/breakthrough-to-freedom,"Today’s blog is written by Nicole Hawker about the Point’s women’s event, Breakthrough to Freedom","On February 16th we are having our annual Women’s Conference and I am so excited about this year’s theme…Breakthrough. We have been praying, planning and preparing for an incredible day. I want to encourage you to mark your calendars now and to register online for this power packed day of teaching, worship and hearing from the Lord. ( thepointva.com/breakthrough ). As women, we all need moments to slow down, reset, and spend time focused on self-care in the Lord. One of the ways I like to spend time with the Lord is through worship. Many times, God uses music to speak to my life situations and allows me to see how He wants to grow and develop my love for his guidance, direction and breakthrough. Last year one of my favorite worship songs was “New Wine” by Brooke Ligertwood. She starts off with these words: In the crushing, In the pressing, You are making new wine In the soil I now surrender, You are breaking new ground There is something that struck a chord in my heart to hear her sing...",
214,attachment-5c4b33bd4ae237ee9522f288,attachment,2019-01-22 16:05:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311676057-D7HLNAQV6ZF5U7P6PQU6/Breakthrough_Social2.jpg,exc-5c4b33bd4ae237ee9522f288,img-5c4b33bd4ae237ee9522f288,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311676057-D7HLNAQV6ZF5U7P6PQU6/Breakthrough_Social2.jpg
215,Gaining Financial Peace,post,2018-08-20 18:24:00,,/blogfeed/2019/1/24/gaining-financial-peace,Today’s blog is written by Jeff Pompeo who shares with us how important it is to be good stewards of what the Lord has given us!,"Today’s blog is written by Jeff Pompeo who shares with us how important it is to be good stewards of what the Lord has given us! Today’s Reading “I rejoiced greatly in the Lord that at last you renewed your concern for me. Indeed, you were concerned, but you had no opportunity to show it. 11 I am not saying this because I am in need, for I have learned to be content whatever the circumstances. 12 I know what it is to be in need, and I know what it is to have plenty. I have learned the secret of being content in any and every situation, whether well fed or hungry, whether living in plenty or in want. 13 I can do all this through him who gives me strength. 14 Yet it was good of you to share in my troubles.” -Philippians 4:10-14 Paul wrote these words as he sat in a prison cell condemned for his faith, awaiting an uncertain fate. This section of his letter was basically a ‘thank you note’ to the Philippian church, which had sent him a financial gift. It’s interesting that Paul “rejoiced g...",
217,attachment-5c4a0b2342bfc14525353205,attachment,2019-01-08 19:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312486273-XZ3ANVR7K9X19EDY91I5/Blog_red.jpg,exc-5c4a0b2342bfc14525353205,img-5c4a0b2342bfc14525353205,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312486273-XZ3ANVR7K9X19EDY91I5/Blog_red.jpg
218,Pray First,post,2019-01-31 16:47:00,Pray First,/blogfeed/2019/1/31/pray-first,Today’s blog is written by Pastor Gabe recapping the Pray First series and all the scriptures so you can continue to pray over yourself.,"It always means so much to hear what messages and message series have meant to our people, and never have we received as much feedback as we have with our Pray First series. This past Sunday we wrapped up this series, and if you weren’t able to be with us, or you missed a week or two, I want to encourage you to visit our website and catch up on the messages. Many of you have requested a list of all the Scriptures that I referenced throughout this series. While these verses are some of the verses that I pray over myself each morning, there are many others that I did not share in the series. As you pray over yourself, the list below is a good starting point, but I would encourage you to search the Scriptures for yourself and ask God to give you specific verses in addition to these to use as a guide for prayer. Here’s one last suggestion. After praying these verses over yourself each morning, carry the cards with you throughout the day and take 10 minutes over lunch, or while you’re waiti...",
219,attachment-5c532689758d466a263e0f50,attachment,2019-01-31 16:47:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311494553-7HPK6ZNNPXTJJP945N8N/Blog_white.jpg,exc-5c532689758d466a263e0f50,img-5c532689758d466a263e0f50,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554311494553-7HPK6ZNNPXTJJP945N8N/Blog_white.jpg
220,Peace Be With You,post,2019-10-01 12:00:00,,/blogfeed/2019/10/1/peace-be-with-you,Today’s blog is written by Krista Varanyak.,"Today’s Reading “Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.” Philippians 4:6-7 (NIV) Each year when the leaves fall and the seasons change, I enter a state of seasonal depression. The darkness of the autumn months fills me with dread and sorrow that feels never-ending. Maybe it is because some of the most difficult moments in my life happened in the fall, or maybe it’s the physical darkness in the sky each morning when I leave for work and in the evening when I get home. Nevertheless, every year, without fail, the fall season brings about a terrible anxiety that I cannot shake - until last year. In Fall 2018, I began to learn more about prayer and decided to be more intentional with my prayer life. I started attending the prayer group at The Point with that intention in mind. Little did I...",
221,attachment-5d7f883f9d991000aafe20c7,attachment,2019-10-01 12:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1568641046362-WX0YTFDGAVE13R2OO286/blog_10.1.19.jpg,exc-5d7f883f9d991000aafe20c7,img-5d7f883f9d991000aafe20c7,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1568641046362-WX0YTFDGAVE13R2OO286/blog_10.1.19.jpg
222,Jehovah Jireh,post,2019-10-15 12:00:00,REACH,/blogfeed/2019/10/15/jehovah-jireh,"Today’s blog is written by Dawn Haasnoot, Mary Hannah Dolan, and Hannah Gall.","Written by: Dawn Haasnoot, Mary Hannah Dolan, and Hannah Gall But He said to them, “You give them something to eat.” They said, “We have no more than five loaves and two fish.” Luke 9:13a This September, we (Dawn, Mary Hannah, and Hannah) set out with five other members of the Point to participate in medical missions in Togo. We didn’t really know what to expect, so we were prepared to do whatever the Lord called us to do. We were equipped with medicine, medical supplies, oral hygiene items, children’s toys, and anything else we could stuff into thirteen suitcases. Our first day of clinic was at a remote village located about two hours north of Lome, the country’s capital. In the village’s church building, we set up a triage area, provider stations, and a pharmacy, anticipating we would see around 200-300 patients. We were quickly overwhelmed by the needs of the people we saw: worms, malaria, wounds, hypertension were a few of the many conditions we diagnosed. By the end of the day, vi...",
223,attachment-5da47a08e9d5ac309c4182aa,attachment,2019-10-15 12:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1571060724489-FUEEUDM9ACD6PUYMOB7S/JehovahJireh_blog.jpg,exc-5da47a08e9d5ac309c4182aa,img-5da47a08e9d5ac309c4182aa,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1571060724489-FUEEUDM9ACD6PUYMOB7S/JehovahJireh_blog.jpg
224,How To Prepare for Battle,post,2019-10-22 12:00:00,Prayer,/blogfeed/2019/10/15/praying-a-miracle,Today’s blog is written by Lynne Sade.,"“Make this your common practice: pray for each other so that you can live together whole and healed. The prayer of a person living right with God is something powerful to be reckoned with.” James 5:16 (MSG) The story of how my 23-year-old cousin Ben lived; it starts, in fact, five days before he died. His mom, my Aunt Barbara, woke up on a Sunday morning this past April with a strong feeling she should fast that morning and pray instead of eating breakfast. And on Monday morning, she felt the same way. This feeling continued for four days, resulting in a water or black-tea-only fast until 10:30 each morning, at which point she would allow herself coffee with milk and food for breakfast. On the fifth day, as Aunt Barbara was fasting, my cousin Ben was on a short morning jog about 30 minutes away, when his heart stopped, and he collapsed on the pavement. His jogging route had taken him through future housing developments that were paused in their construction, where his body would have p...",
225,attachment-5d88c33114ffd35492bbf6a5,attachment,2019-10-22 12:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1569258708223-31BCWNDHKGEKNL08X2IU/BattleBlog_LynneSade_10-15-19.jpg,exc-5d88c33114ffd35492bbf6a5,img-5d88c33114ffd35492bbf6a5,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1569258708223-31BCWNDHKGEKNL08X2IU/BattleBlog_LynneSade_10-15-19.jpg
226,Value,post,2019-10-29 12:00:00,,/blogfeed/2019/10/22/value,Today’s blog is written by Kristin Fields.,"Value “For you know that God paid a ransom to save you from the empty life you inherited from your ancestors. And it was not paid with mere gold or silver, which lose their value. It was the precious blood of Christ, the sinless, spotless Lamb of God.” (1 Peter 1:18-19 NLT) Performance, possessions, and popularity – Does that sound like a miserable flashback to high school or what? If only that trio faded into ancient history like SAT scores. It seems though we have a natural tendency to believe these equate our value far into adulthood. Even Jesus was tempted to prove himself in these key areas. As we read the temptation of Jesus, we see he was first taunted to “command these stones to become loaves of bread.” (Matthew 4:3) Satan was prodding Jesus to prove himself. Ring a bell? Years ago, I met a famous preacher and the first thing she said to me was, “What do you do?” I don’t know why she asked that question. Perhaps, she was trying to make a connection, but her words twisted in my ...",
227,attachment-5d94a945fdc2ac68347581e1,attachment,2019-10-29 12:00:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1570023990042-NMMCTWRCU7OST6T47EN5/8.22.19_Blog_KristinFields_Value.jpg,exc-5d94a945fdc2ac68347581e1,img-5d94a945fdc2ac68347581e1,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1570023990042-NMMCTWRCU7OST6T47EN5/8.22.19_Blog_KristinFields_Value.jpg
228,Developing Patience,post,2019-10-08 12:03:00,,/blogfeed/2019/10/8/developing-patience,Today’s blog is written by Tom Cappucci.,"Psalm 37:3-7a Each year I select a word to be my focus and help me to grow in my faith. Along with that word I search the scriptures to find a verse that speaks to my heart about the growth I sense God wants for me. This year, I felt God was directing me to a word that most people are leery of asking for – patience. To paraphrase an old saying: If you pray for patience, God will present you with trials to give you an opportunity to develop patience. And this year He has done just that. As I searched the scriptures for the right verses to memorize and focus on, God lead me to Psalm 37, where He lays out a “formula” if you will with four steps to develop a heart and mind of patience. Step 1: Trust God: “Trust in the Lord, and do good; dwell in the land and befriend faithfulness.” v.3 Our first step is to trust in God and seek to do His will – to be good and faithful in the place that He has us, knowing He will never leave or forsake us. So we ask ourselves – Am I willing to truly trust t...",
229,attachment-5d88c2c13a08391190ac9e8b,attachment,2019-10-08 12:03:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1569258127862-CBXZH0X989H4BCG51OTJ/blogpatience_tomcappucci_10-8-19.jpg,exc-5d88c2c13a08391190ac9e8b,img-5d88c2c13a08391190ac9e8b,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1569258127862-CBXZH0X989H4BCG51OTJ/blogpatience_tomcappucci_10-8-19.jpg
